A13,A14,A15,A16,A17,A18,A19,A20,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A1,A2,A6,A3,A4,A5,A7,A9,A10,A11,A12,A32,A33,A34,A35,A8,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,Bankrupt?
37209,16813,85521,102334,-65125,190166,543,17628,5875,-4684,1191,-1077,114,-486,-487,-372,0,-372,37209,13212,23997,549,3344,2252,2,1381,0,0,1154,580,-37,-90,75823374,-65127,0.785820496,0.651876524,0.032653304,0.234086242,2.750248596,0.548093203,-0.636396506,-1.571299154,0.363603494,0.253103239,-0.341499352,0.999969291,1.272555253,0.202723404,0.569191489,1.890848027,2.365656566,0.278593945,0.085819282,1.159529807,0.051347409,0.009884285,0.003029055,-0.028156222,-0.269370022,0.005712092,-0.306451613,0.797276596,106.3489362,18.33191489,8.289361702,1918,-1.559139785,0.098723404,1.541098165,1.864396808,2.95351016,6.25797951,-0.089080041,1.983865955,-0.022410803,-0.394755447,-0.382059801,-0.380434783,-0.180316586,-0.051374938,-4.91E-06,-0.00117539,2.53E-05,0
975333,196184,194437,390621,584712,304233,281188,20705,282209,-198091,84118,-51670,32448,3125,-6164,35573,-6309,29264,975333,685011,290322,199216,172203,230044,90961,177350,0,0,8794,121035,-30751,-47720,0,493751,3.491676182,2.319083106,1.015454879,5.264114212,0.400500137,0.705592859,1.496878048,0.791129537,2.496878048,0.251387204,0.843411835,1.184224437,0.286395401,0.29806987,0.610196698,2.734777337,0.89822727,1.009720467,0.127845706,2.108347797,0.294509092,0.031165932,0.034556867,0.042720482,0.165007048,0.050048571,1.108802624,0.70193013,92.92191248,18.30912551,2.184196819,79799,4.135969109,0.428884267,12.89013327,1.828704235,-0.241853435,-0.942660558,0.10012337,2.074674302,0.080563695,-0.149108777,-0.065644955,-0.123098127,-0.016842179,0.101078767,0,0,0,0
12607,282,0,0,12046,12351,485,0,97,-16,81,-674,-593,0,0,-593,0,-593,12607,8590,3002,0,0,0,0,994,-2014,0,21,-31,0,0,303030,12607,30.46099291,30.46099291,0,0,0.022368525,0.977631475,43.70567376,0,41.10638298,0,1.139062013,0.955500912,0.032828871,0.835051546,0,0,0,0.056737589,0.008916777,12.27160494,0,0.044692316,-0.044692316,-0.06903376,-0.596579477,0.049227959,1,0.164948454,711.3402062,694.8453608,0,3306,0.05227656,-0.319587629,0.233636055,1.046571476,1.015670911,2.878900238,0.068111455,1.840726511,-0.094974874,0.770854125,-2.629120879,-2.256355932,-0.927549195,0.068111455,-0.001956902,0.027416427,0.010909811,0
512077,8158,12588,20746,491331,234322,194216,208,0,0,0,14801,14801,4,-46,14805,393,15198,512077,36743,475334,16295,0,0,1280,66,0,0,472449,-1688,11597,-49,26291930,490051,4.50392253,4.50392253,1.99742584,321.7608696,0.040513438,0.981569178,23.68316784,0.042334369,24.68316784,0,1.14354153,1.002611973,0.222028686,0,0,0,0,0,0,0,0,0.030699278,0.029897356,0.413629807,230.2727273,0.030932304,0.973878142,0,0,0,0,-25635,-0.111067246,0,0.340968427,1.042505744,0,0,-4.744923858,2.094456906,0.071192192,3.109512254,-5.320068221,-4.831478126,0,-4.831478126,0.000578048,0.000608438,-0.000975014,0
825875724,135727109,83161968,218889077,606986647,290000000,237284436,7961125,103353933,-45755862,57598071,-42031605,15566466,2161795,-2082475,17728261,-4057171,13671090,825875724,308128098,517747626,101791812,116922821,76705800,27122,149185050,0,0,219591603,47942736,-9460214,736054,11698982,606959525,2.270203059,1.705055826,0.749974067,7.474983373,0.265038759,0.8356239,2.77303306,0.360632082,3.77303306,0.37946173,1.151104572,1.000044685,0.440489231,0.557289591,1.131285647,1.331742516,0.578895264,0.337116604,0.177212377,2.590104971,0.192628325,0.016289664,0.018548082,0.044368203,0.091638472,0.022522884,1.138641176,0.442710409,90.87908924,40.66763961,2.014896714,26983151,3.506870045,0.463869488,5.712573405,1.549571688,0.864997305,-0.178143415,-0.191762338,1.978344086,-0.031370583,-0.006335107,0.029203872,0.018928021,-0.141803,-0.189720028,1.168570906,7.627930447,2.306452903,0
132445,10704,13876,24580,107865,45000,49234,3477,406,0,406,4278,4684,-77,-82,4607,0,4607,132445,819,131626,72,200,0,5,63,0,0,125010,-6557,6451,0,1569600,107860,0.076513453,0.076513453,0.006726457,57.12195122,0.18558647,0.919143796,4.388323841,0.227888003,5.388323841,0.244200244,1.144597491,1.000046356,13.06959707,1,0.492610837,0,0,0,0.413441955,0.155172414,0.00185417,0.035583258,0.036177986,5.625152625,73.12698413,0.042710796,1.016713697,0,1033.497537,1053.694581,20.19704433,-13095,-1.423268939,-16.15024631,5.064454588,1.207692435,1,0.713578716,0.349196141,2.033766992,0.047020878,0.280780354,0.363421131,0.366394399,0.50929368,0.354226021,0.002935143,-0.015138252,-0.00834289,0
1556090,562009,464446,1026455,529635,410000,101712,12902,621847,-441775,180072,-167848,12224,-11606,-18323,618,2787,3405,1556090,827301,728789,69779,312822,430526,37158,238915,0,0,59832,-23209,-23731,62999,73285157,492477,1.472042263,0.705994032,0.124159933,0.667139661,0.659637296,0.614953505,0.515984627,2.084269925,1.515984627,0.378123561,0.962410497,1.075451239,0.679328322,0.289576053,0.503053002,2.390854769,1.041300828,0.786063924,0.219649957,1.326774846,0.590636948,0.002251191,0.00808181,0.004115793,0.014251931,0.006428956,3.590014684,0.710423947,100.5326069,26.99184848,2.946544729,-24208,-6.816152717,-0.037322685,1.534446367,0.148536494,1.983469761,21.38890304,0.004771475,2.047420657,0.059303256,-0.822215546,-0.82036402,-0.633364326,-0.076075301,-0.0060084,4.65E-05,-0.002717522,-0.000330326,0
11140068,630,1072,1702,11138366,8208826,958014,785,0,0,0,113894,113894,289,-40,114183,0,114183,11140068,47688,11092380,63,0,0,0,597,0,0,11089605,21207,0,-21206,784653866,11138366,75.6952381,75.6952381,0.1,2847.35,0.000152782,0.999943447,6544.280846,0.000152805,6545.280846,0,1.215071497,1,0.013210871,0,0,0,0,0,0,0,0,0.010782754,0.010755462,2.394375944,191.2613065,0.010251324,0.997468975,0,0,0,0,-1103025,0.185728173,0,0.200266115,1.00269064,0,0,-0.135104338,2.109912385,0.109706466,-0.224806248,-0.137779489,-0.156628112,0,-0.156628112,0.00014552,5.86E-05,-0.001405747,0
933539,198563,209515,408078,525461,262600,163765,4616,88251,-77503,10748,1198,11946,-2577,-5285,9369,-1034,8335,933539,499190,434349,18729,74180,90378,1248,63790,0,0,362398,45161,-1030,24842,835309,524213,2.514013185,2.058852858,0.094322709,2.260359508,0.437130104,0.78596395,1.28764844,0.778458375,2.28764844,0.148600733,1.229493509,1.002380712,0.397770388,0.121788988,0.840557048,8.408820246,0.92794071,0.390319445,0.026322492,5.935057685,0.141171276,0.009778308,0.014014596,0.016697049,0.130663113,0.015862262,1.433233353,0.878211012,93.62386828,1.3574917,5.988600696,-54004,5.418236353,0.511733578,5.29811813,1.393357971,0.300040571,-4.668427161,-0.091101506,2.127286839,0.210415492,0.320920565,0.627929688,0.229771464,-0.040357143,-0.172863461,0.009978343,0.109075803,-0.064651524,0
86600414,78383353,0,0,8217061,5200000,4511,1888635,2035750,-1227250,808500,-628827,179673,0,0,179673,-143173,119777,86600414,83628140,0,0,0,0,894146,289855,-595835,-741629,1788273,8756077,-1012416,-267950,206992552,85706268,1.066912001,1.066912001,0,0,0.905115223,0.084559815,0.104831711,0,1.066912001,0,16.58217323,0.09587468,0.937284424,0.397150927,0,0,0,0.015657024,0.009995599,0.358509586,0,0.001429361,0.00214413,0.001432257,0.413230753,0.014576623,1.500062616,0.602849073,98.207049,30.88920545,0,4418940,73.10315837,4.301155348,10.44907787,10.53909835,2.368613454,6.78633737,0.03425954,2.066774274,0.069209607,-0.661331414,-0.642873542,-0.604403952,-0.22438008,0.03425954,0.000578654,0.025338047,0.021348304,0
