A13,A14,A15,A16,A17,A18,A19,A20,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A1,A2,A6,A3,A4,A5,A7,A9,A10,A11,A12,A32,A33,A34,A35,A8,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,Bankrupt?
234077,65399,112995,178394,55683,191423,0,112914,0,0,0,-485,-485,2,0,-483,0,-483,234077,1484,232593,0,0,0,0,16436,0,0,0,232,-228,0,0,55683,0.022691478,0.022691478,0,0,0.762116739,0.72060903,0.312134937,3.203742614,1.312134937,0,0.290889809,1,44.06940701,0,0,0,0,0,0,0,0,0.002058016,-0.002066538,-0.325471698,-0.029386712,0.008674102,1.004140787,0,0,0,0,2903,-0.480331263,0,0.098852965,4.186407593,0,0,-0.515484515,1.996961239,-0.005227214,-0.494337137,-0.517482517,-0.050880626,0,-0.050880626,0,0,0,1
165542,959992,25405,985397,-819855,-18329,-36287,401,0,0,0,-1266,-1266,-17848,-18303,-19114,0,-19114,165542,344,165198,1,0,0,0,0,0,0,9864,0,0,0,2762888,-819855,0.000358336,0.000358336,1.04E-06,-0.069168989,5.952549806,-4.79908422,-0.832004766,-1.201916192,0.167995234,0,15.01126044,1,2790.674419,0,0,0,0,0,0,0,0,0.117374698,-0.007774216,-55.56395349,0,0.023313879,0.066234174,0,0,0,0,87790,0,0,0,-3.048519829,0,0,-0.742465717,2.608637477,0.033668436,-0.765739615,-0.737646865,-0.982557659,0,-0.982557659,-0.006918123,-0.356530196,0.031774723,1
893775,143791,48294,192085,701690,842979,40329,1207,0,0,0,-7410,-7410,380,-2415,-7030,0,1105,893775,86487,807288,35,50725,0,3928,7517,0,0,652040,2957,-37710,34704,74061523,697762,0.601477144,0.601477144,0.000243409,-3.068322981,0.214914268,0.834724623,3.653018195,0.275287276,4.653018195,0.58650433,0.7899419,1.005629427,1.662573566,0,0,0,0,0,0,0,0.072289758,0.001178797,-0.007904873,0.012776487,0.147000133,0.001574769,-6.705882353,0,0,0,0,17660,2.6760181,0,0.315448159,1.208425921,0,0,-0.898794808,1.970741335,-0.08893109,-0.9868367,-1.012908728,-0.919726137,0,-0.919726137,1.49E-05,-0.001425815,0.00023845,1
21,27986,41350,69336,-69315,742187,0,41350,0,0,0,1466,1466,0,0,1466,0,1466,21,21,0,0,0,0,0,0,0,0,0,-3,0,0,744796,-69315,0.000750375,0.000750375,0,0,3301.714286,-1331.666667,-0.999697127,-1.000302965,0.000302873,0,-0.093392905,1,1332.666667,0,0,0,0,0,0,0,0,68.18604651,68.18604651,69.80952381,0,0.021149823,1,0,0,0,0,15987,-0.002046385,0,13.95348837,-0.000302965,0,0,-1.668185962,0.315377532,-0.045454545,-0.485955184,-1.668185962,-1.670018282,0,-1.670018282,0.001968324,-0.093065752,0.021464938,1
17411,437,93471,93908,-76497,44070,0,0,0,0,0,365,365,-2382,-2471,-2017,0,-2017,17411,272,17139,272,0,0,0,12757,-3079,0,0,-4384,0,4656,120679,-76497,0.622425629,0.622425629,0.622425629,0.147713476,5.393601746,0.974900925,-0.814595136,-1.227603697,0.185404864,0,-1.665940549,1,1.606617647,0,0,0,0,0,0,0,0,0.116370979,0.021058705,-7.415441176,-0.158109273,0.026367047,-0.180961824,0,0,0,0,3243,2.173525037,0,25.29352373,1.257744265,0,0,-0.204682779,2.0475672,0.009099339,-0.258672801,-0.211801485,-2.68202765,0,-2.68202765,-0.016713761,-0.775909645,0.026872944,1
1404690,1379943,1260694,2640637,-1235947,2919019,1,697427,0,-234,-234,-22138,-22372,-29087,-28035,-51459,0,-51459,1404690,71308,1333382,19365,0,0,0,20187,0,0,1193834,-19770,-35439,74493,18139687,-1235947,0.051674598,0.051674598,0.014033188,-0.798002497,1.879871715,0.01761741,-0.468048808,-2.136529317,0.531951192,0,-0.423411624,1,19.35186795,0,0,0,0,0.000169572,0.004384732,86.26923077,0,0.038456925,-0.016719297,-0.721644135,-2.549115768,0.04163528,0.434753882,0,0,0,0,85749,0.384189355,0,1.477474125,-2.614190154,0,0,-0.882043914,2.328964957,0.104751164,-0.88965678,-0.87935687,-0.945984316,-0.755485893,-0.945984316,-0.002836819,-0.141641308,0.004727149,1
86370,257738,43533,301271,-214901,22338,0,1211,8226,-9020,-794,-1993,-2787,-1247,-1248,-4034,165,-3869,86370,23054,63316,8,17667,1094,0,61493,0,0,0,-785,0,777,18122099,-214901,0.089447423,0.085202803,3.10E-05,-2.233173077,3.488144031,-1.984114855,-0.713314591,-1.401905994,0.286685409,0.766331222,-9.620422598,1,11.17975189,0.096523219,2.147702407,1.377833753,7.954144621,0.03499678,0.040739886,77.44710327,0.082209948,0.046353926,-0.033390642,-0.167823371,-0.06291773,0.018003639,0.720341173,1.096523219,147.0459519,24.22805738,15.17140773,7129,0.202894805,-0.095429127,0.940497086,-0.581732608,-0.258835586,-0.263236644,0.28548962,2.09587822,0.072080235,-0.294219848,-0.267234848,-0.212266817,-0.262766945,0.445275591,-0.000213496,-0.015352361,0.000393387,1
1736704,1677750,284740,1962490,-225786,303578,0,306899,63838,-46052,17786,-8896,8890,-29300,-29034,-20410,6872,-13538,1736704,55111,1681593,35042,16198,0,1305279,7929,0,0,0,53780,-23584,0,0,-1531065,0.03284816,0.03284816,0.020886306,0.30619274,1.130008338,-0.717638124,-0.115050777,-1.281780983,0.884949223,0.293915915,-5.043399061,0.147469898,30.44310573,0.278611485,0.253736019,0,0,0.027448666,0.418454734,0.445800067,0.071740498,0.007913141,0.005196323,-0.245649689,-1.707403203,0.059959431,-0.656670114,0.721388515,120.790125,13.93527366,45.48074814,101006,-3.972521791,0.842444939,3.143512633,17.65915988,-0.072976553,1.518757502,-0.2972394,2.035954312,0.030717898,-0.493685179,-0.372805189,-0.40768872,0.017913352,-0.21048321,0,0,0,1
15101332,2076463,15120544,17197007,-2095675,2624558,0,22970,280962,-306323,-25361,-78546,-103907,-131920,0,-235827,38140,-197687,15101332,772803,14328529,246616,226263,11018,13683376,9912,0,0,0,474782,-203781,-151642,3033541675,-15779051,0.372172776,0.366866638,0.118767346,0,1.138774182,-0.043605889,-0.121862775,-1.089863199,0.878137225,0.292782249,-6.012079367,0.132813754,2.686924093,0.090264876,0.80531531,0.434446591,29.60214534,0.147521531,0.040495605,0.390836323,0.107966646,0.013077407,-0.006873664,-0.255805166,-19.94420904,0.094330943,0.525613723,1.090264876,123.4077918,27.95609371,0,401229,-2.401685493,1.689844178,3.14078182,-16.35460439,2.728149115,-0.502284777,-0.043713444,1.995570394,-0.002028809,0.043698009,0.21971791,-2.071537589,-1.193393169,-0.043713444,-6.52E-05,-0.005414201,0.000132264,0
32055,467,577,1044,31011,27838,3173,160,2151,-10,2141,-24,2117,-1,-1,2116,0,2116,32055,6836,25219,64,21,6745,0,0,0,0,25219,-130,129,0,0,31011,14.63811563,0.194860814,0.137044968,2117,0.032569022,0.98543129,29.70402299,0.033665474,30.70402299,0.003071972,1,1,0.068314804,0.995351,0.009762901,3.150397011,0.001847746,0.021413276,0.372704326,0,0.000677179,0.079332646,0.079370138,0.309537741,0,0.068233853,1.00047259,0.004649,1.627150163,1.115760112,0.046490005,-12610,-0.061436673,-0.060437006,0.487393383,1.033177205,0.146050405,0.060705809,-0.873646209,3.563781567,0.505636449,3.315500071,-8.221843003,-14.06790123,-19.78070175,-0.767123288,0,0,0,0
208506,322832,0,322832,-114326,13354,10646,0,0,0,0,-200991,-200991,150269,-594,-50722,0,-50722,208506,208506,0,191216,17290,0,0,0,0,0,0,126881,0,-21,180000,-114326,0.645865342,0.645865342,0.592308074,-338.3686869,1.54831036,-0.54831036,-0.354134658,-2.823784616,0.645865342,0.082923273,-4.763583333,1,1.54831036,0,0,0,0,0,0,0,0.15123419,0.163195835,-0.646679826,-0.243263983,0,0.443661109,3.962600055,0,0,0,0,588257,-2.501498364,0,40.8234115,-0.46024948,0,0,-0.169389563,1.354245995,-0.495268734,3.766215386,-2.570097508,-0.169482701,0,-0.169482701,-0.281788889,-0.635144444,3.268094444,0
1123500,274356,576898,851254,272246,341897,6213,8840,41417,-25336,16081,-50869,-34788,-10466,-12715,-45254,15842,-29412,1123500,406360,717140,168517,44245,157223,20441,262460,0,0,62977,-76220,-13828,23561,0,251805,1.481141291,0.908079284,0.6142275,-2.735981125,0.757680463,0.737608367,0.319817587,3.38060801,1.319817587,0.108881288,0.723348941,1.081177896,0.675155035,0.388270517,1.068281141,9.776941732,0.159384505,0.092347169,0.034417002,16.32112431,0.162518458,0.025209663,-0.029817549,-0.072379171,-0.112062791,0.108034645,1.182782538,0.611729483,176.4444552,122.8215467,30.69995413,-35837,2.591459268,-1.84030712,6.532981399,5.368328461,1.059854283,-3.103305209,-0.513611973,1.943331542,-0.071403953,2.815077098,2.321138211,8.769165965,-0.79272521,-0.5460908,0,0,0,0
63252,390,12382,12772,50480,67425,18147,41,0,0,0,-1390,-1390,-321,-320,-1711,0,-1711,63252,296,62956,0,0,0,0,0,0,0,62931,-762,0,762,296079302,50480,0.758974359,0.758974359,0,-4.34375,0.201922469,0.993834187,3.952395866,0.253011094,4.952395866,0,0.589912588,1,1.317567568,0,0,0,0,0,0,0,0,0.028000524,-0.022747357,-5.780405405,0,0.033894612,0.812390415,0,0,0,0,-4282,0.445353594,0,1.247013387,1.542375526,0,0,5.951219512,2.059282079,0.072795115,15.07768653,16.28282828,346.5,0,346.5,-5.78E-06,-4.21E-05,-1.45E-05,0
111206663,16559136,92156089,108715225,2491438,9235546,6517223,4279004,6478231,-4091176,2387055,340632,2727687,-5947286,-6004664,-3219599,1162498,-2057101,111206663,16049612,95157051,495856,8566092,2497688,16839414,37060403,0,0,12461118,3424635,2220397,-5974902,724921241,-14347976,0.969230037,0.818395597,0.029944557,0.454261387,0.977596324,0.699671323,0.022917103,-7.577042574,1.022917103,0.5337258,-0.910822472,0.173643864,1.031746811,0.368473276,1.322288754,1.046347068,1.732764269,0.247064581,0.147190376,15.52557566,3.438211988,0.019300002,0.025591531,-0.128171385,-0.055506709,0.825668148,-1.325985938,0.631526724,132.6397592,5.258102096,92.68987166,18433307,-1.664786999,0.52863737,3.21303921,-52.68512015,-66.99603238,682.0287432,0.453521963,2.064225068,0.090642004,20.1826001,-3.936416919,1.617576046,0.386676248,-0.314815451,-0.002837689,-0.127828525,0.025428013,0
1475862,340544,465851,806395,669467,352715,385328,149752,84930,-69167,15763,-120557,-104794,-4591,-12514,-109385,27086,-82299,1475862,884167,591695,2279,174620,129669,46334,55784,0,0,338469,-1032,-297712,299337,45095471,623133,2.596337037,2.215566858,0.006692234,-8.374140962,0.546389161,0.737863025,0.83019736,1.294097729,1.83019736,0.197496627,0.844304465,1.074356518,0.385158007,0.185599906,2.056046156,8.226162533,0.71691992,0.203107381,0.020834793,3.538920256,0.260834365,0.064063139,-0.081573684,-0.093080832,-1.475315503,0.122932124,1.273332604,0.814400094,206.2310138,141.9486636,14.73448722,80526,0.012539642,-0.012151183,0.080332883,2.301112915,1.200127242,4.264743063,-0.21571228,2.206496571,0.349733458,1.260798965,-3.028667916,-3.619915498,-0.852287422,-0.250188714,-0.001824995,0.001724608,0.001785678,0
2312453,316718,696193,1012911,1299542,752982,522624,7322,8637,-5392,3245,32409,35654,-1726,-16136,33928,-34,33894,2312453,633543,1678910,318371,4840,2818,8423,67446,0,0,1524087,-51874,3445,29733,75391676,1291119,2.00033784,1.991440335,1.005219154,2.209593456,0.43802447,0.859395629,1.282977478,0.784521799,2.282977478,0.007639576,1.012161279,1.006523798,0.499915554,0.375709158,0.560379761,0.868412943,1.762091503,0.017024609,0.005171092,20.78459168,0.003724389,0.014992158,0.015770649,0.053499131,0.502535362,0.026081496,1.051926595,0.624290842,125.5875883,375.2344564,186.8241287,-93025,-1.530477371,-6.006020609,2.294515791,1.693294875,0.743614274,-0.391388596,-1.515809434,2.053758242,0.046779904,0.26573502,0.308648649,-0.073561128,-0.586413459,-12.39477014,0.000449572,-0.005031961,-0.00123389,0
15764474,1830983,8472495,10303478,5460996,3956889,1315013,65111,1127563,-997973,129590,-12305,117285,-74766,-92745,42519,47422,89941,15764474,3040016,12724458,1751942,533210,0,41574,13811,0,0,1295416,-641116,-27216,797598,592069308,5419422,1.660319075,1.660319075,0.956831385,1.264596474,0.653588442,0.881216652,0.530014816,1.90121345,1.530014816,0.175397103,1.027982311,1.007671298,0.60229387,0.114929277,0.472887103,0,0,0.54504766,0.041023547,0.106574581,0.097639698,0.005627051,0.007337796,0.0295857,6.512272826,0.016469706,1.304021525,0.885070723,93.61791758,1.091291573,8.225261028,-657721,-7.128184032,-0.568585525,4.011065786,1.046521598,1.678594941,1.293447363,-0.363580239,1.978088938,-0.027057889,-0.528009533,-0.526842972,-0.571358088,-0.68372009,-0.379760715,0.00015191,-0.012267925,-0.001110885,0
440056,57420,120000,177420,262636,1300633,1002554,0,0,0,0,-300,-300,-707,-1490,-1007,0,-1007,440056,1862,438194,0,414,0,0,0,0,0,438194,-771,0,599,4618950,262636,0.032427726,0.032427726,0,-0.201342282,0.403175959,0.869516607,1.480306617,0.675535722,2.480306617,0.222341568,0.114031557,1,30.83780881,0,0,0,0,0,0,0,0.001576326,0.002530183,-0.000753778,-0.540816327,0,0.003834204,0.297914598,0,0,0,0,-30599,0.765640516,0,0.193721027,5.624214908,0,0,17.45360825,2.235731049,0.236341569,98.18148481,110.8888889,2.092783505,0,2.092783505,-0.000218015,-0.038008205,-0.006624666,0
51533,33328,7382,40710,10823,89590,0,2221,12875,-7788,5087,-7436,-2349,-416,-522,-2765,4,-2761,51533,30805,20728,9561,0,0,16250,0,0,0,0,3615,-3347,6189,158821493,-5427,0.924297888,0.924297888,0.2868759,-4.5,0.789979237,0.037936856,0.265856055,-7.501381979,1.265856055,0,-0.060575957,1.99428782,1.081902289,0.395106796,0,0,0,0.233677388,0.215848096,0,0,0.062404647,-0.053092545,-0.089628307,0,0.255104869,0.850778703,0.604893204,122.2679612,57.75533981,4.054368932,8494,-1.309308222,0.280776699,8.17069174,5.604667928,8.175188959,-2.487077384,-0.009685535,2.441593757,0.394517508,0.221185865,-0.115631006,-0.254522374,0.380086815,-0.014882878,-1.74E-05,-6.24E-05,5.35E-05,0
18667353,861104,933645,1794749,16872604,7293763,11000649,224099,1,0,1,1174610,1174611,5349,-744,1179960,-136154,1043806,18667353,2592110,16075243,32278,1320563,0,3332,1368,0,0,14181637,-21334,-9695,-1049,1391730993,16869272,3.010217117,3.010217117,0.037484439,1578.778226,0.096143733,0.953692631,9.401093969,0.10639161,10.40109397,0.509454846,0.92209971,1.000197519,0.332201951,1,1320563,0,0,0,3.42E-07,1368,0.078266698,0.057321147,0.064504372,0.402685843,763.0160819,0.061863954,1.125315432,0,103771200,117461000,74400,-1008166,-0.020438664,-21334,0.117156767,1.111408843,1,0.506424712,-0.340450983,2.042916553,0.051550045,-0.535265318,-0.506421963,-0.404591587,-0.999994571,-0.343274887,0.000750006,0.000572928,-0.000724397,0
20390,176354,453,176807,-156417,27038,14784,68503,0,0,0,-522,-522,-754,0,-1276,0,-1276,20390,2284,18106,28,1843,0,32,330,0,0,58,-2027,0,2027,12496,-156449,0.012951223,0.012951223,0.000158772,0,8.671260422,-7.650613046,-0.884676512,-1.130125472,0.115323488,0.806917688,-3.740830185,0.999795461,77.21278459,0,0,0,0,0,0,0,0.011782607,0.064267546,-0.026291269,-0.558669002,-3.866666667,0.008157681,0.409090909,0,0,0,0,21,1.588557994,0,10.20927246,-0.318649649,0,0,15.83870968,2.01256998,0.055437652,1.842648012,1.880361174,15.83870968,0,15.83870968,-0.102112676,-13.96630922,0.001680538,1
236168,68877,4362,73239,162929,149238,8850,0,107811,-100059,7752,-7526,226,489,-574,715,-325,390,236168,189600,46568,57451,70443,39819,6184,28636,0,0,3143,22557,-1215,-3698,5482,156745,2.752733133,2.174615619,0.83411008,0.393728223,0.310113987,0.682171166,2.224620762,0.467249354,3.224620762,0.37153481,0.991504732,1.039452614,0.363275316,0.071903609,0.653393439,5.136609907,2.105242118,1.452720066,0.039989167,3.694014448,0.43235397,0.001620685,0.000939166,0.002056962,0.013619221,0.002393681,0.579487179,0.928096391,100.6242406,6.980734804,0.532413205,20156,57.83846154,0.209227259,9.373792278,4.585854406,1.547309191,6.091228019,-0.109729196,1.950150033,-0.03648158,-0.906073632,-0.904668785,-0.958348691,-0.229806259,-0.112261738,0.071141919,21.2260124,3.676760306,0
961340,1354523,10996340,12350863,-11389523,2163400,0,1213843,109,-120,-11,-6310,-6321,-81619,-81619,-87940,41,-87899,961340,6662,954678,6,5699,0,0,23248,0,0,5670,-431,0,431,331286,-11389523,0.004918337,0.004918337,4.43E-06,-0.077445203,12.84754925,-0.408994737,-0.922164144,-1.084405642,0.077835856,0.855448814,-5.264640381,1,203.3207745,0.100917431,52.28440367,0,0,8.86E-05,0.001662259,2113.454545,0.000500372,0.091406971,-0.006573265,-13.19408586,-3.780927392,0.007717531,0.071912081,1.100917431,80741.2844,5788.990826,74879.81651,159199,0.004903355,-3.95412844,0.044820083,-1.174281308,1.356083086,-0.241486015,0.178007599,1.984084251,-0.000587376,0.167295888,0.183888694,104.35,-1.03264095,11.43713733,-0.265326636,-37.26146291,0.480548529,0
1038013,12999,353,13352,1024661,384787,554833,353,26,-1,25,9248,9273,66,0,9339,0,9339,1038013,9466,1028547,450,0,0,0,6,0,0,1028036,9278,519,-6155,20902310,1024661,0.728209862,0.728209862,0.034618048,0,0.012863037,0.987477035,76.74213601,0.013030651,77.74213601,0,1.090505736,1,1.373230509,0.961538462,0,0,0,7.69E-05,0.00307522,0.24,0,0.00915089,0.009086219,0.986583562,1556.5,0.009114234,0.992932862,0.038461538,35565.38462,35569.23077,0,-21581,0.993468251,356.8461538,0.909111842,1.020240834,0.992222222,-0.678432709,0.473155966,2.035799523,0.034805104,0.402778977,0.446337308,0.459625374,-0.652777778,0.473155966,0.000446793,-0.000185912,-0.00103247,0
6401565,2506546,0,0,969432,473930,2692,0,115913,-50660,65253,-45326,19927,-161,-170,19766,-1998,14561,6401565,4297094,2095835,0,0,0,1583,7018,-9801,-2781,35,2341964,-527,-14771,24966028,6399982,1.714348749,1.714348749,0,117.2176471,0.391552066,0.608200651,1.553938767,0,2.550493388,0,13.4483574,0.151474176,0.583311885,0.562948073,0,0,0,0.020211079,0.017714221,0.107550611,0,0.00232505,0.003181874,0.003388569,2.074807638,0.015020136,1.368518646,0.437051927,84.67902651,39.10346553,0.14666172,2076593,160.8381292,20.2044982,37.39566338,6.550066037,0.705106919,0.775924491,-0.286274161,2.044547634,0.045365273,-0.237531672,-0.222667094,-0.289007029,-0.202344571,-0.286545709,0.000583233,0.071719378,0.083176747,0
10618343,3628071,0,0,955021,492708,43497,0,543003,-198146,344857,-287912,56945,-6392,-13149,50553,-12449,26654,10618343,6067868,3845653,0,0,0,58868,163978,-148557,-92515,481976,370405,55083,-17692,25282042,10559475,1.672477744,1.672477744,0,4.330747585,0.341679582,0.652776427,1.926718634,0,2.732449558,0,19.97003385,0.090442091,0.597915281,0.635092255,0,0,0,0.054614697,0.058403844,0.47549564,0,0.002603948,0.005563211,0.004392647,0.162546195,0.027909334,2.136452315,0.364907745,94.22710372,53.02217483,2.421533583,-150946,13.89678847,0.682141719,3.618651454,9.870409359,-1.093063338,-7.224824191,-0.034292579,2.075485917,0.077605269,0.031074635,0.109520043,-0.221967182,0.016569586,0.016496225,0.001054266,0.096503162,-0.005970483,0
1228541,4265,199,4464,1224077,446282,686429,1271,57,-3,54,11228,11282,291,0,11573,0,11573,1228541,41359,1187182,288,0,0,0,2,0,0,1187105,123,518,-4469,15055630,1224077,9.697303634,9.697303634,0.067526377,0,0.003633578,0.996528402,274.2107975,0.003646829,275.2107975,0,1.080661351,1,0.103121449,0.947368421,0,0,0,0.0007034,0.001233863,0.037037037,0,0.009541256,0.009301344,0.279818177,5786.5,0.009454471,0.974855267,0.052631579,19692.98246,19698.24561,0,-32655,0.010628186,2.157894737,0.010140625,1.029534192,1.002702703,-0.632252981,0.529291553,2.029964292,0.026054312,0.37977476,0.417738577,0.502663825,-0.6625,0.529291553,0.000768683,0.002450578,-0.002168956,0
522867,88796,184390,273186,249681,492101,0,30287,35943,-36785,-842,-7314,-8156,-1889,-2842,-10045,0,-10045,522867,46866,476001,7062,10333,21798,1396,272493,0,0,0,-5016,-18635,8903,526737844,248285,0.527794045,0.282310014,0.079530609,-2.869809993,0.522477035,0.827504891,0.91395972,1.100292003,1.91395972,0.220479665,0.504540735,1.005622571,1.894678445,0.02342598,0.287482959,25.88836105,1.843721023,0.414264156,0.016063031,323.6258907,0.041384807,0.018944466,-0.015381888,-0.214334486,-0.036863332,0.040231335,0.811946242,1.02342598,130.5984475,20.34888574,7.906963804,19237,0.499352912,-0.139554294,0.945997428,2.579161051,-1.897703485,-1.60582388,-0.000340737,1.974385478,-0.027406943,-0.023975274,-0.110904585,-0.232954011,-0.131062951,-0.003502508,-1.91E-05,-0.000429663,3.65E-05,0
491923,217309,140928,358237,133686,150000,0,5794,62881,-50462,12419,-32134,-19715,-8366,-10620,-28081,590,-27491,491923,156204,335719,12581,70320,56916,1134,160098,0,0,115400,44192,5398,-40906,5476198,132552,0.718810542,0.456897782,0.057894519,-1.856403013,0.728237956,0.555940666,0.373177533,2.702614823,1.373177533,0.450180533,0.88368,1.008555133,1.391187166,0.19750004,1.118302826,4.582977695,0.820346919,0.232213116,0.071963957,12.89137612,0.526008707,0.053164312,-0.038126456,-0.175994213,-0.171713575,0.205638586,0.717143793,0.80249996,147.303637,51.10287686,16.88904439,82877,-1.607507912,0.702787806,8.546205243,5.241154808,-0.010441323,5.046750671,0.053181032,1.829211577,-0.092839874,0.48517808,-2.150106681,-1.602499847,0.004448399,0.074992842,-0.005020089,-0.036892932,0.01513404,0
11854115,1215552,3670294,4885846,6968269,3402385,3370363,252251,1245638,-700598,545040,-326594,218446,-20051,-61062,198395,-52050,146345,11854115,2145137,9708978,913179,1083976,62809,5454095,1538240,0,0,145085,944299,-278799,-273625,188444559,1514174,1.764743096,1.713071921,0.751246347,3.577445875,0.412164552,0.437355973,1.426215439,3.226740124,2.426215439,0.505317842,0.223568631,4.602026583,0.566654717,0.437558906,0.870217511,0.115237414,11.67439574,0.576362015,0.274362274,2.822251578,0.155558863,0.012521559,0.01869066,0.06822175,0.09513795,0.021001629,1.49267826,0.562441094,91.54377114,26.21901387,4.90206625,669464,6.452553897,0.758084612,8.079603732,1.545008434,3.161334325,5.186484102,0.030428418,2.031550175,0.028934353,0.189569526,0.22918049,0.107216171,0.139693121,0.031698459,0.000776594,-0.014543848,0.003552578,0
1390584,50313,463628,513941,876643,786065,376066,4871,2502,-7262,-4760,-376831,-381591,-8858,0,-390449,7616,-382833,1390584,37372,1353212,12065,3758,2749,72595,18696,0,0,984717,-154234,-4204,30422,264441032,804048,0.742790134,0.688152167,0.239798859,0,0.369586447,0.911614113,1.705726922,0.639191939,2.705726922,0.100556566,0.691873808,1.090286898,1.346275286,1.902478018,1.501998401,0.577521008,2.142498894,0.144336454,0.043454248,3.927731092,0.004286808,0.249308405,-0.24849959,-10.24384566,-20.47673299,0.436703424,0.996755766,2.902478018,15047.04237,15061.19105,0,63659,0.402875405,-61.64428457,10.04402245,1.623082707,1.614936681,568.4760641,11.46812309,1.691439752,-0.172555124,686.8565494,-527.5928473,-96.78087349,-1.498794928,11.46812309,-0.001447706,-0.001802175,0.00024073,0
7104964,1755452,106,1755558,5349406,3396767,1824725,0,0,0,0,0,-3708,954033,0,950325,7899,956797,7104964,2050242,5054722,179186,0,0,5541,0,0,0,5043940,2816,2460227,-6515052,671584841,5343865,1.16792826,1.16792826,0.102073996,0,0.247088937,0.752146105,3.047125757,0.328518404,4.047125757,0,1.023436405,1.00103689,0.856216973,0,0,0,0,0,0,0,0,0.101497097,-0.000393345,0.466675153,0,0.178860419,-0.00387543,0,0,0,0,-98196,0.002943153,0,0.029872149,-340.3993719,0,0,0,1.715946714,-0.395256231,-0.129450635,-0.112756667,-1.745776348,0,0,0.001424685,0.000438789,-0.000146215,0
2422277,5693,65,5758,2416519,2284893,234538,0,0,0,0,117175,117175,3,-27,117178,0,117178,2422277,4123,2418154,2,0,0,0,0,0,0,2417157,-2648,0,2647,122209783,2416519,0.72422273,0.72422273,0.000351309,4339.814815,0.002377102,0.997649732,419.6802709,0.002382766,420.6802709,0,0.959152682,1,1.380790686,0,0,0,0,0,0,0,0,0.048791405,0.048790156,28.42056755,0,0.048490411,0.999974398,0,0,0,0,-42315,-0.022598099,0,0.110259299,1.00240843,0,0,1.311796977,2.031066723,0.017359067,1.27098049,1.308880613,1.312056038,0,1.312056038,0.000958827,-1.34E-05,-0.000346249,0
1490074,510978,797424,1308402,181672,50515,131157,2688,318673,-163275,155398,-130384,25014,-15344,-17532,9670,-3517,6153,1490074,635840,854234,3876,122183,169118,47031,786932,0,0,0,54425,-58901,117012,261956811,134641,1.244358857,0.913389618,0.007585454,1.426762491,0.878078538,0.625515914,0.138850292,9.717708573,1.138850292,0.192159977,0.741121362,1.349306675,0.803626699,0.487640936,0.383411836,1.088289425,1.082097589,0.319534305,0.288640798,5.063977657,0.672547228,0.004503202,0.018307021,0.009676963,0.007818973,0.03386873,4.065333983,0.512359064,98.75577787,40.91466801,5.501564299,54963,8.845278726,0.170786355,3.983207952,3.17075852,1.12978973,1.334781344,0.339031842,2.199994065,0.199111897,0.416780272,0.46013289,0.401501569,0.389467096,0.340100944,2.35E-05,-0.002567454,0.000209817,0
52524843,27547,52223799,52251346,273497,1276040,400000,0,0,0,0,27446,27446,-38656,-38955,-11210,0,-11210,52524843,161807,52363036,159157,0,0,0,0,0,0,0,-143560,0,200000,0,273497,5.873851962,5.873851962,5.777652739,0.70455654,0.994792997,0.999475543,0.005234258,191.0490645,1.005234258,0,0.163180473,1,0.170246034,0,0,0,0,0,0,0,0,0.000251378,0.00061546,-0.069280068,0,0.040987653,-2.448349688,0,0,0,0,-285246,12.80642284,0,0.321924796,-78.44021035,0,0,-3.678380265,2.432090187,0.432612059,-0.023563444,-3.026025664,0.420821038,0,0.420821038,0,0,0,0
1756579,130834,1416954,1547788,208791,380000,49710,296113,79076,-66575,12501,-9161,3340,-13129,-15392,-9789,4007,-5782,1756579,49608,1706971,27220,15941,1,1453826,3170,0,0,0,18362,-7426,-7466,380000000,-1245035,0.379167495,0.379159851,0.208049895,0.216995842,0.881137711,0.097871488,0.134896381,-1.243168264,1.134896381,0.3213393,-2.897384282,0.1676989,2.637356878,0.158088421,0.201590875,8.00E-05,133150,0.50885091,0.267767639,0.253579714,0.076349076,0.003283826,0.001896918,-0.116553782,-1.823974763,0.027692765,-0.577654791,0.841911579,110.1737569,11.58505741,19.46481866,3077,-3.175717745,0.232206991,1.042850466,-24.65742801,5.071229506,10.8669141,-0.329827839,2.020788366,-0.004727685,-0.883596487,-0.883851269,-0.600526253,-0.412464163,-0.025477379,-1.52E-05,-0.003942579,8.10E-06,0
