Bankrupt?,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth
0,1.71,1.23,0.21,0.17,0.09,0.89,1.49,0.06,0.04,740.14,0.192982494,0.631962263,0.136986301
0,1.29,1.23,0.42,0.17,0.17,0.55,1.43,0.12,0.11,90.69,0.441369418,0.16551873,-0.006373486
0,1.63,1.22,-0.08,0.17,0.08,0.65,0.53,0.15,0.05,1165.5,-0.020990121,-0.617901407,-0.516763433
0,1.09,1.22,-0.03,0.17,0.09,0.91,0.91,0.1,0.1,4.59,0.074383528,0.147881173,-0.018404908
0,0.99,1.22,0.12,0.17,0.02,0.41,1.79,0.01,0.02,105.21,-0.021767172,-0.016279545,-0.031055901
0,1.25,1.21,0.32,0.17,0.17,1.23,0.52,0.33,0.14,12.33,0.179237412,0.018015854,-0.007936508
0,1.13,1.21,0.47,0.17,0.1,1.02,1.67,0.06,0.09,19.08,0.333920362,0.295854433,0.218383714
0,1.4,1.2,0.06,0.17,0.07,0.46,0.6,0.12,0.05,902.22,0.032687883,-0.130220051,0.056957344
0,1.02,1.2,0,0.17,0.1,0.9,1.6,0.06,0.14,16.58,0.026774048,0.09276602,-0.151020408
0,0.93,1.19,0.04,0.17,0.07,0.89,0.71,0.1,0.04,278.15,0.006120477,0.010131048,-0.026802218
0,2.07,1.18,0.02,0.17,0.13,0.94,0.77,0.17,0.04,33.77,0.201599231,0.246122277,-0.303904924
0,1.58,1.18,0.38,0.17,0.15,0.42,2.79,0.05,0.08,25.43,0.200334183,0.36587448,0.171458999
0,1.35,1.18,0.03,0.17,0.04,0.59,0.4,0.09,0.04,444.4,-0.09745278,-0.200174314,0.033734695
0,1.35,1.18,-0.03,0.17,0.06,2.73,0.15,0.38,0.04,890.75,-0.042027177,-0.101242535,-0.009570276
0,1.91,1.16,0.07,0.17,0.1,0.29,0.87,0.11,0.03,1473.82,-0.015285079,0.023454773,0
0,1.57,1.16,0.39,0.17,0.12,0.1,0.68,0.17,0.07,335.35,0.109979764,0.159327698,0.125
0,0.95,1.16,0.11,0.17,0.07,0.73,0.22,0.32,0.09,3394.29,0.077382897,-0.055767371,0.034482759
0,1.67,1.15,0.16,0.17,0.15,0.37,2,0.07,0.08,141.57,0.034360196,0.550439866,0.00594943
0,1.25,1.15,-0.02,0.17,0.05,1.13,0.32,0.16,0.04,32.13,0.090500411,0.053113992,0.013715711
0,1.12,1.15,0.28,0.17,0.07,1.71,1.6,0.04,0.08,27.05,0.036782938,0.031082236,-0.023255814
0,4.31,1.14,0.12,0.17,0.06,0.16,0.44,0.14,0.02,483.84,0.289152381,0.384601819,0.399868248
0,1.75,1.14,0.41,0.17,0.12,0.2,2.25,0.05,0.06,20.99,0.493459294,0.27926463,0.285271318
0,1.54,1.14,0.5,0.17,0.07,1.03,0.45,0.15,0.04,266.53,0.815750157,0.884009778,-0.020719738
0,1.35,1.13,0.12,0.17,0.06,1.96,0.77,0.08,0.04,442.72,0.061544154,0.076433121,0.030716724
0,0.79,1.13,0.01,0.17,0.08,0.19,0.24,0.35,0.15,13.97,0.35989402,1.041954287,0.44
0,2.34,1.12,0.23,0.17,0.12,0.89,1.59,0.07,0.03,23.32,0.763761686,0.660990582,0.482653061
0,2.14,1.12,0.3,0.17,0.14,0.09,1.61,0.09,0.04,86.13,0.196894519,0.402587667,0.127141569
0,1.57,1.11,-0.18,0.17,0.15,0.22,0.75,0.19,0.13,28.95,-0.051555375,0.135831533,0.1
0,1.2,1.11,-0.02,0.17,0.08,1.03,0.85,0.1,0.07,5.64,0.120681027,0.130889983,0.028391167
0,2.28,1.1,0.12,0.17,0.14,0.75,1.61,0.09,0.04,276,0.124559859,0.161165185,0.154065621
0,1.12,1.1,0.41,0.17,0.1,0.93,2.01,0.05,0.09,36.1,0.075126012,0.144757725,0.040816327
0,3.2,1.09,0.16,0.17,0.12,0.94,0.48,0.24,0.01,1538.68,0.074193812,0.168141271,0.124683944
0,2.54,1.09,0.21,0.17,0.11,0.36,1,0.11,0.04,1314,0.073492947,0.723152833,0.186489685
0,1.57,1.09,0.39,0.17,0.11,0.15,1.38,0.08,0.05,24.57,0.42417245,0.62514647,0.387483356
0,0.85,1.09,0.12,0.17,0.06,1.81,1.98,0.03,0.08,10.51,0.029998284,0.014531529,-0.069158281
0,1.1,1.07,0.26,0.17,0.1,1.1,2.96,0.04,0.1,8.08,0.224473038,0.269339179,0.03057554
0,1.56,1.06,0.18,0.17,0.08,0.49,4.26,0.02,0.04,27.62,0.579484628,0.56853889,0.4
0,2.41,1.05,0.36,0.17,0.25,0.02,4.99,0.05,0.08,20.72,0.600331081,0.283972088,0.493333333
0,1.87,1.04,0.3,0.17,0.15,2.63,0.38,0.38,0.06,7720.82,0.184561757,0.732928002,0.165231627
0,1.17,1.04,0.19,0.17,0.05,1.08,0.89,0.06,0.04,381.84,0.171346562,0.245613211,0.031598513
0,1.02,1.04,0.15,0.17,0.05,0.93,0.19,0.24,0.03,37.08,0.231884255,0.343557977,0.219111969
0,5.66,1.03,0,0.17,0.26,0.9,2.14,0.12,0.02,10696.64,0.07065863,0.026243257,-0.031290184
0,1.62,1.03,0,0.17,0.08,0.84,1.37,0.06,0.06,2602.22,-0.148804033,-0.063742622,0.009174224
0,1.61,1.03,0.26,0.17,0.11,1.23,1.31,0.09,0.03,100.45,0.527461351,0.399144385,-0.012820513
0,1.51,1.03,0.53,0.17,0.13,1.4,0.9,0.15,0.11,33.94,1.170727767,0.509735697,0.363013699
0,1.47,1.03,0.77,0.17,0.13,0.22,1.15,0.11,0.06,10.8,0.301085949,0.300211806,0.078125
0,1.18,1.02,0.34,0.17,0.12,1.6,1.68,0.07,0.08,50.88,0.522777195,0.958276114,0.870958673
0,0.93,1.01,0.49,0.17,0.04,0.12,0.57,0.07,0.02,32.11,-0.149906223,-0.404748943,-0.353909465
0,1.83,1,-0.02,0.17,0.1,1.4,0.32,0.31,0.04,145.43,0.100682192,0.381629793,0.184536082
0,1,1,0.39,0.17,0.06,1.75,0.88,0.07,0.07,7.7,0.001180334,0.217698539,-0.043630573
0,1.39,0.99,-0.02,0.17,0.07,0.37,0.28,0.24,0.03,189.66,0.213398822,-0.004834366,0.191986644
0,1.17,0.99,0.11,0.17,0.05,2.02,1.18,0.05,0.01,253.2,0.505604744,0.307783932,0.396383866
0,1.15,0.99,0.16,0.17,0.03,0.12,0.25,0.11,0.03,70.94,-0.000735577,0.067768774,0.103459973
0,1.04,0.99,0,0.17,0.04,0.86,0.55,0.07,0.14,60.34,-0.296368688,-0.018119586,0.026755853
0,1.17,0.98,0,0.17,0.06,1.21,1.35,0.05,0.02,87.85,0.060381982,0.034169662,0
0,1.79,0.97,0.4,0.17,0.08,0.4,0.5,0.17,0.05,21.35,0.448442977,0.406244432,0.397058824
0,1.44,0.97,-0.09,0.17,0.16,0.89,0.37,0.43,0.08,460.33,0.013637111,-0.129013467,-0.029986292
0,1.37,0.97,0.18,0.17,0.07,1.03,0.68,0.1,0.04,92.68,0.135410788,0.141996523,0.607594937
0,1.3,0.97,0.25,0.17,0.17,0.94,1.77,0.1,0.06,5.05,-0.319669286,-0.144495173,-0.437627812
0,2.12,0.96,0.05,0.17,0.14,0.28,0.55,0.26,0.07,505.68,0.315528366,0.272021252,0.086114734
0,1.67,0.96,0,0.17,0.15,1.24,0.8,0.19,0.05,292.78,0.206104963,0.004576275,0
0,2.72,0.95,0.5,0.17,0.24,0.11,1.89,0.13,0.06,13.08,0.149128502,0.240343102,0.144444444
0,1.71,0.95,0.41,0.17,0.12,0.35,0.87,0.13,0.06,8.52,0.172382717,0.21818723,0.255707763
0,1.16,0.95,0.12,0.17,0.1,0.82,1.05,0.1,0.06,31.19,0.014952891,-0.046884009,-0.036363636
0,1.03,0.95,0.09,0.17,0.03,0.96,0.94,0.03,0.01,368.03,-0.060623318,-0.043075187,0.013161153
0,0.93,0.95,0.3,0.17,0.09,0.41,1.78,0.05,0.09,15.64,0.21202688,0.176274439,0.110323648
0,2.64,0.94,0.26,0.17,0.21,1.56,1.12,0.19,0.07,9046.24,0.085344695,0.327107455,0.272084942
0,1.74,0.94,0.09,0.17,0.13,0.64,1.64,0.08,0.06,60.02,0.614770659,0.046851897,0.058156874
0,1.68,0.94,0.01,0.17,0.04,0.89,0.28,0.16,0.02,104.41,0.237432907,0.14433399,0.183333333
0,1.42,0.94,0.25,0.17,0.07,0.99,1.09,0.06,0.02,255.29,1.257914247,0.279871326,1.044817927
0,1.2,0.94,0.1,0.17,0.06,0.39,1.38,0.05,0.06,93.7,-0.063425136,0.06242655,0
0,2.5,0.93,0.25,0.17,0.3,0.03,1.27,0.23,0.12,66.71,0.143315072,0.429788581,0.485915493
0,2.07,0.93,0.24,0.17,0.24,0.05,0.51,0.48,0.05,96.07,-0.018330537,0.75376785,0.149321267
0,1.83,0.93,0.27,0.17,0.08,1.32,0.95,0.08,0.05,1485.52,0.373230458,0.293951767,0.202351594
0,1.53,0.93,0.39,0.17,0.07,0.73,3.3,0.02,0.05,34.84,0.074261025,-0.157630633,0.044303797
0,1.33,0.93,0.51,0.17,0.11,0.17,2.4,0.05,0.08,2.02,0.62439841,0.496771606,0.062006764
0,0.93,0.93,0.3,0.17,0.07,0.91,3.69,0.02,0.08,1.19,0.113228999,0.288389461,0.188191882
0,1.37,0.92,-0.16,0.17,0.06,1.21,0.99,0.06,0.06,882.54,0.4674429,0.186455878,0.072684366
0,1.31,0.92,0.23,0.17,0.09,1.21,3.08,0.03,0.07,72.63,0.547929987,0.578233983,0.677777778
0,0.98,0.92,-0.06,0.17,0.06,1.33,0.1,0.57,0.23,88.22,-0.026141554,0.142238929,0.024390244
0,0.96,0.92,0,0.17,0.06,1.63,0.72,0.09,0.03,28.9,-0.043366784,-0.073508742,-0.049180328
0,4.01,0.91,0.64,0.17,0.11,0.26,0.49,0.22,0.02,149.9,2.383598843,0.791895924,0.518
0,1.81,0.91,0.44,0.17,0.13,0.01,0.99,0.13,0.06,72.22,-0.077775957,0.113555014,-0.023809524
0,1.24,0.91,0.19,0.17,0.09,1.27,1.68,0.05,0.1,51.1,0.015233097,-0.131764806,-0.045713429
0,1.05,0.91,0.1,0.17,0.1,0.59,2.98,0.03,0.13,37.35,0.098232464,0.142010223,0.188501654
0,0.94,0.91,-0.05,0.17,0.03,0.76,0.43,0.07,0.1,44.01,0.310223403,0.159630159,0.128301887
0,2.23,0.9,0.11,0.17,0.16,0.15,1.04,0.16,0.05,58.75,0.410750415,0.412267126,0.666666667
0,1.42,0.9,0.39,0.17,0.07,0.64,0.77,0.09,0.04,153.58,0.337682511,-0.129049961,0.112903226
0,1.32,0.9,0.26,0.17,0.09,0.3,1.01,0.09,0.06,74.03,0.113269462,0.173191775,0.12716763
0,2.46,0.89,0.32,0.17,0.11,0.31,0.86,0.12,0.04,3248.81,0.208916084,0.197045748,0.045722171
0,1.15,0.89,0.19,0.17,0.12,0.88,2.29,0.05,0.12,7.49,0.267794592,0.188517082,0.041942605
0,1.79,0.88,0.24,0.17,0.1,0.29,0.95,0.11,0.04,369.32,0.167840368,0.053430363,0.173833033
0,1.58,0.88,0.35,0.17,0.12,0.77,1.14,0.1,0.05,8.15,0.568774786,0.036826298,0.26585695
0,1.34,0.88,0.1,0.17,0.06,1.19,2.78,0.02,0.03,39.48,0.558669635,0.561654039,0.811111111
0,1.06,0.88,0.49,0.17,0.09,0.6,1.72,0.05,0.08,15.7,0.232679909,0.287806012,0.14235377
0,0.86,0.88,0.06,0.17,0.03,1.18,0.97,0.03,0.11,17.07,-0.061580061,0.182735391,-0.067965705
0,1.82,0.87,0.38,0.17,0.12,0.61,0.99,0.12,0.06,21.04,0.806651522,0.790331882,0.784
0,1,0.87,0.07,0.17,0.1,1.57,1.85,0.05,0.42,14.93,0.117955924,0.295923144,0.307692308
0,0.97,0.87,0.15,0.17,0.09,0.97,0.84,0.1,0.12,183.69,-0.049490795,-0.029410191,-0.182320442
0,1.33,0.86,-0.08,0.17,0.12,1.08,1.16,0.11,0.08,47.85,0.615462773,0.031049594,0.052631579
