Bankrupt?,"Operating revenue (Turnover)
th GBP Last avail. yr","Number of employees
Last avail. yr","Operating Profit
th GBP Last avail. yr","EBITDA
th GBP Last avail. yr","Cash In(Out)flow Operat. Activ.
th GBP Last avail. yr","Total Other Current Liabilities
th GBP Last avail. yr","Current Liabilities
th GBP Last avail. yr","Working Capital
th GBP Last avail. yr","Long Term Debt
th GBP Last avail. yr","Tangible Assets
th GBP Last avail. yr","Fixed Assets
th GBP Last avail. yr","Current Assets
th GBP Last avail. yr","Net Assets Turnover (x)
Last avail. yr","Fixed Assets Turnover (x)
Last avail. yr","Interest Cover (x)
Last avail. yr","Stock Turnover (x)
Last avail. yr","Debtors Turnover (x)
Last avail. yr","Debtor Collection
Last avail. yr","Creditors Payment
Last avail. yr","Return on Shareholders Funds
Last avail. yr","Return on Capital Employed
Last avail. yr","Return on Total Assets
Last avail. yr","Profit margin
Last avail. yr","Gross margin
Last avail. yr","EBIT margin
Last avail. yr","EBITDA margin
Last avail. yr","Current ratio (x)
Last avail. yr","Liquidity ratio (x)
Last avail. yr","Shareholders liquidity ratio (x)
Last avail. yr","Solvency ratio (Asset based)
Last avail. yr","Asset Cover (x)
Last avail. yr","Gearing
Last avail. yr","Profit per employee (unit)
GBP Last avail. yr","Turnover per employee (unit)
GBP Last avail. yr","Salaries/ Turnover
Last avail. yr","Average Remuneration per employee
GBP Last avail. yr","Shareholders Funds per employee
GBP Last avail. yr","Working Capital per employee
GBP Last avail. yr","Total Assets per employee
GBP Last avail. yr"
1,848749,117,-23933,-4894,97559,-42954,-204955,152960,-742,43943,45713,184118,34.11919119,18.56690657,-9.064593301,6.703490163,17.18532842,21.23904712,9.908659686,-106.5827809,-101.4712976,-10.98285262,-2.974024123,0.116170976,-2.819797137,-0.576613345,0.898333781,0.280573784,19.83500838,10.30452811,309.745283,591.787358,-215743.5897,7254264.957,0.433108021,31418.80342,,,1964367.521
1,832442,2733,-18459,139774,54358,-293831,-427187,128903,-797536,1047450,2245112,340650,0.385644233,0.370779721,-0.257932638,74.77247822,4.054383666,90.02601382,38.38752129,-7.624400324,-4.661269588,-3.891193389,-12.08696822,27.73262281,-2.217451786,16.79083948,0.797425952,0.771364765,1.573089412,51.03605823,3.24218844,67.04026989,-36815.58727,304589.0962,12.23857038,37277.3509,,47165.38602,946125.869
1,741799.645,1334,247192.671,399379.431,396498.226,-210106.38,-285091.607,217494.089,-654476.949,949246.453,1451610.519,970227.541,0.347163157,0.511018373,2.846882392,28.04748554,2.915505238,125.1927094,31.18912469,12.3086634,8.090447033,7.138063558,23.3044517,55.87092927,33.32337413,53.83925885,3.403213273,3.310443124,1.231920683,57.99219077,3.70041766,81.99989481,129589.4603,556071.6979,6.762274603,37603.0952,,163039.0472,1815470.81
1,659600,8354,32600,44900,-2300,-104100,-162800,10100,-133900,9100,252200,218700,2.140863356,2.615384615,4.034090909,87.94666667,13.24497992,27.55761067,26.11885992,15.94029851,8.666017527,5.669993629,4.047907823,15.14554275,4.942389327,6.807155852,1.343366093,1.297297297,1.191322902,35.57018475,3.516803585,90.80597015,3196.073737,78956.18865,35.62765312,28130.23701,20050.27532,1209.001676,56368.20685
1,623100,5599,18300,47800,54400,-74000,-234000,42000,-77500,136700,365400,157800,2.154564315,1.705254516,1.15819209,8.466032609,17.40502793,20.97095169,39.48162414,1.422041646,0.968188105,0.535168196,0.449366073,20.10913176,2.936928262,7.671320815,0.674358974,0.35982906,2.133261105,37.63379205,6.750967742,93.90553581,500.0893017,111287.73,25.16450008,28005.00089,35166.99411,7501.339525,93445.25808
1,606554,315,-1217277,-206567,379850,-532675,-734625,212082,-700058,884948,1249086,440582,0.635106482,0.485598269,-28.22263658,5.742577445,4.959639569,73.59405758,9.531880096,-784.5120921,-131.2786964,-74.20203259,,33.7915503,,-34.05583015,0.599737281,0.455957802,0.200967269,9.458366969,2.413611444,614.0468667,,1925568.254,7.36950049,141904.7619,,,
1,528558,3516,3027,47416,30110,-163666,-198743,13503,-13891,63635,281313,98401,2.920677899,1.878896461,5.047399908,212.8707209,13.81525916,26.42006175,18.81011166,27.00531202,14.57968404,6.948650827,4.991883578,72.22140238,0.572690225,8.970822502,0.495116809,0.482623287,1.17334182,25.73068151,27.33525304,93.24892787,7504.266212,150329.3515,44.11985061,66325.08532,27788.11149,3840.443686,107996.0182
1,482778,6988,38712,49606,23310,-43791,-126800,144789,-158206,47154,136809,226710,2.039456064,3.528846786,3.124455206,3.768229289,5.763962845,63.32448869,50.72052786,33.94153525,11.11951301,7.240886996,5.452195419,21.71142844,8.018592397,10.2751161,1.787933754,0.777539432,0.487227332,21.33341036,2.297757354,225.7740068,3766.742988,69086.72009,20.22627377,13973.66915,11097.73898,20719.66228,52020.46365
1,463392,10651,-182498,-2554,-35917,-42735,-125790,7331,-252845,87505,103126,132014,4.237695473,4.493454609,-3.045292571,15.29699931,15.11192278,24.15311443,42.23959412,,-150.5322359,-70.00382751,-35.52219287,11.26540812,-39.38307092,-0.551153235,1.049479291,0.808657286,-0.721624683,,0.929976863,,-15454.6052,43506.90076,38.92579069,16935.40513,,688.2921791,22076.8003
1,371900,673,-29800,-18300,-20700,-95300,-137400,24700,-19700,29800,55800,188600,3.475700935,6.664874552,-18.625,5.903174603,,0.098144663,37.68755042,-36.89776733,-29.34579439,-12.84779051,-8.443129874,46.27588061,-8.012906695,-4.920677602,1.372634643,0.91411936,3.885844749,34.81996727,12.40609137,30.08225617,-46656.76077,552600.2972,8.147351439,45022.28826,126448.737,36701.3373,363150.0743
1,361554,1160,580,3452,-9159,-12584,-88521,34203,-4103,5777,22039,82614,22.41222415,16.4051908,-0.668714672,16.19865591,7.169138642,50.91267141,38.91641359,-56.91533948,-42.09025539,-6.48810832,-1.878004392,14.72006948,0.160418637,0.954767476,0.933270072,0.681126512,2.839124227,11.39957765,25.50645869,348.6169321,-5853.448276,311684.4828,7.684052728,23950,10284.48276,29485.34483,90218.10345
1,329277,3812,-1844,11813,6870,-37706,-99039,-10059,-20,23224,72315,45266,17.7584403,4.55337067,0.118693741,33.4529107,15.3867757,23.72166899,45.78282115,,-22.70520979,-3.580510457,-1.278558782,36.64543834,-0.56001482,3.587556981,0.457052272,0.357667182,-0.474090252,-14.21573213,,,-1104.407135,86379.06611,35.45981043,30629.8531,,-2638.772298,30844.96327
1,284206,2866,-103450,-73064,-78570,-35423,-53135,30573,-15915,46091,70292,59732,3.696315468,4.043219712,,6.008329458,289.121058,1.262446957,22.74716227,-326.4964163,-131.525966,-77.7771796,-35.58299262,35.70790202,-36.39965377,-25.70811313,1.124155453,0.233932436,0.674594359,23.82175598,8.169902608,148.2372312,-35285.76413,99164.68946,18.93978312,18781.57711,10807.39707,10667.48081,45367.75994
1,266710,4189,6803,12840,,-17668,-49554,4694,-53,40584,40584,82050,3.649562124,6.571801695,9.578814628,7.451456989,366.3598901,0.996288103,43.55612838,14.35565216,9.308976464,5.54740121,2.55071051,37.64575756,2.55071051,4.81421769,1.655769464,0.933466521,1.844575922,38.64262766,,54.33750448,1624.015278,63669.13344,13.59866522,8658.152304,11312.7238,1120.553831,29275.24469
1,253085,16068,46251,54604,26491,-48117,-72039,45967,-70990,199129,298175,57837,0.891229096,0.848780079,2.314396334,5.505797637,,,,10.48303242,5.857951284,4.672595306,6.572890531,32.01928206,18.27488788,21.57536006,0.802856786,0.16477186,1.266571951,44.57293574,5.014959854,94.02779091,1035.287528,15750.8713,9.838986902,1549.726164,9875.840179,2860.779188,22156.58452
1,246856,66,6289,7895,-31727,-31265,-68513,45013,-19220,33750,45842,91699,3.576171988,5.384930849,3.252852579,,4.281012087,85.26021243,18.70422433,10.09840627,7.150721446,3.588748082,1.999546294,5.051122922,2.547639109,3.198220825,1.338417527,1.338417527,2.425877215,35.53776692,7.156139438,91.5464719,74787.87879,3740242.424,0.866497067,32409.09091,,,
1,227200,3215,26500,35300,-300,-68200,-112000,38500,-156800,28700,307600,132900,0.691628615,0.738621586,3.473684211,29.12820513,3.316788321,110.0462148,60.72623239,12.96551724,5.722983257,4.267877412,8.274647887,69.76232394,11.66373239,15.53697183,1.186607143,1.116964286,0.790190736,32.91713961,2.809311224,130.6896552,5847.589425,70668.74028,42.3415493,29922.2395,45101.08865,11975.11664,137013.9969
